plot,Question,Likert Score (1-5),group,
1,gesture_distinction,5,single,none
1,gesture_distinction,5,single,none
1,gesture_distinction,4.428571429,single,none
1,gesture_distinction,4.631578947,single,none
1,gesture_distinction,4.444444444,single,none
1,gesture_distinction,4.736842105,single,none
1,gesture_distinction,5,single,none
1,gesture_distinction,5,single,none
1,gesture_distinction,4.705882353,single,none
1,gesture_distinction,5,single,none
1,gesture_distinction,5,single,horizontal
1,gesture_distinction,4.857142857,single,horizontal
1,gesture_distinction,4.8,single,horizontal
1,gesture_distinction,5,single,horizontal
1,gesture_distinction,4.857142857,single,horizontal
1,gesture_distinction,4.166666667,single,horizontal
1,gesture_distinction,4.6,single,horizontal
1,gesture_distinction,5,single,horizontal
1,gesture_distinction,4.5,single,horizontal
1,gesture_distinction,4.833333333,single,horizontal
1,gesture_distinction,5,single,full
1,gesture_distinction,5,single,full
1,gesture_distinction,5,single,full
1,gesture_distinction,5,single,full
1,gesture_distinction,5,single,full
1,gesture_distinction,5,single,full
1,gesture_distinction,4.5,single,full
1,gesture_distinction,5,single,full
1,gesture_distinction,4.571428571,single,full
1,gesture_distinction,4.833333333,single,full
1,gesture_distinction,5,sequence,none
1,gesture_distinction,5,sequence,none
1,gesture_distinction,4.2,sequence,none
1,gesture_distinction,4.6,sequence,none
1,gesture_distinction,4.833333333,sequence,none
1,gesture_distinction,4.333333333,sequence,none
1,gesture_distinction,4.5,sequence,none
1,gesture_distinction,4.9,sequence,none
1,gesture_distinction,5,sequence,none
1,gesture_distinction,5,sequence,none
1,gesture_distinction,5,sequence,horizontal
1,gesture_distinction,5,sequence,horizontal
1,gesture_distinction,4.166666667,sequence,horizontal
1,gesture_distinction,4.5,sequence,horizontal
1,gesture_distinction,5,sequence,horizontal
1,gesture_distinction,4,sequence,horizontal
1,gesture_distinction,4.4,sequence,horizontal
1,gesture_distinction,5,sequence,horizontal
1,gesture_distinction,4.857142857,sequence,horizontal
1,gesture_distinction,5,sequence,horizontal
1,gesture_distinction,5,sequence,full
1,gesture_distinction,5,sequence,full
1,gesture_distinction,4.714285714,sequence,full
1,gesture_distinction,5,sequence,full
1,gesture_distinction,4.8,sequence,full
1,gesture_distinction,5,sequence,full
1,gesture_distinction,5,sequence,full
1,gesture_distinction,5,sequence,full
1,gesture_distinction,5,sequence,full
1,gesture_distinction,5,sequence,full
1,target_distinction,4.5,single,none
1,target_distinction,4.666666667,single,none
1,target_distinction,4.476190476,single,none
1,target_distinction,4.631578947,single,none
1,target_distinction,4.833333333,single,none
1,target_distinction,4.736842105,single,none
1,target_distinction,4.739130435,single,none
1,target_distinction,4.777777778,single,none
1,target_distinction,4.588235294,single,none
1,target_distinction,4.833333333,single,none
1,target_distinction,5,single,horizontal
1,target_distinction,4.285714286,single,horizontal
1,target_distinction,4.6,single,horizontal
1,target_distinction,5,single,horizontal
1,target_distinction,5,single,horizontal
1,target_distinction,3.5,single,horizontal
1,target_distinction,3.6,single,horizontal
1,target_distinction,4.166666667,single,horizontal
1,target_distinction,4.666666667,single,horizontal
1,target_distinction,5,single,horizontal
1,target_distinction,4.9,single,full
1,target_distinction,5,single,full
1,target_distinction,4.75,single,full
1,target_distinction,5,single,full
1,target_distinction,4.8,single,full
1,target_distinction,5,single,full
1,target_distinction,4,single,full
1,target_distinction,5,single,full
1,target_distinction,4.857142857,single,full
1,target_distinction,4.666666667,single,full
1,target_distinction,4.555555556,sequence,none
1,target_distinction,4.8,sequence,none
1,target_distinction,4.4,sequence,none
1,target_distinction,4.4,sequence,none
1,target_distinction,4.166666667,sequence,none
1,target_distinction,3,sequence,none
1,target_distinction,4,sequence,none
1,target_distinction,4.1,sequence,none
1,target_distinction,3,sequence,none
1,target_distinction,4.6,sequence,none
1,target_distinction,5,sequence,horizontal
1,target_distinction,4.428571429,sequence,horizontal
1,target_distinction,4.333333333,sequence,horizontal
1,target_distinction,4,sequence,horizontal
1,target_distinction,5,sequence,horizontal
1,target_distinction,3.714285714,sequence,horizontal
1,target_distinction,4.2,sequence,horizontal
1,target_distinction,4.333333333,sequence,horizontal
1,target_distinction,4.285714286,sequence,horizontal
1,target_distinction,4.625,sequence,horizontal
1,target_distinction,4.8,sequence,full
1,target_distinction,5,sequence,full
1,target_distinction,4.857142857,sequence,full
1,target_distinction,4.857142857,sequence,full
1,target_distinction,4.8,sequence,full
1,target_distinction,5,sequence,full
1,target_distinction,5,sequence,full
1,target_distinction,5,sequence,full
1,target_distinction,5,sequence,full
1,target_distinction,4.6,sequence,full
1,naturalness,4.5,single,none
1,naturalness,4.933333333,single,none
1,naturalness,3.80952381,single,none
1,naturalness,4.842105263,single,none
1,naturalness,3.555555556,single,none
1,naturalness,4.736842105,single,none
1,naturalness,4.956521739,single,none
1,naturalness,4.888888889,single,none
1,naturalness,4.411764706,single,none
1,naturalness,4.833333333,single,none
1,naturalness,4.5,single,horizontal
1,naturalness,4.857142857,single,horizontal
1,naturalness,4.6,single,horizontal
1,naturalness,5,single,horizontal
1,naturalness,4.857142857,single,horizontal
1,naturalness,3.666666667,single,horizontal
1,naturalness,5,single,horizontal
1,naturalness,5,single,horizontal
1,naturalness,4.333333333,single,horizontal
1,naturalness,4.666666667,single,horizontal
1,naturalness,4.3,single,full
1,naturalness,5,single,full
1,naturalness,4.5,single,full
1,naturalness,4.142857143,single,full
1,naturalness,3.6,single,full
1,naturalness,5,single,full
1,naturalness,4,single,full
1,naturalness,5,single,full
1,naturalness,4.142857143,single,full
1,naturalness,4.666666667,single,full
1,naturalness,3.888888889,sequence,none
1,naturalness,5,sequence,none
1,naturalness,4.2,sequence,none
1,naturalness,4.6,sequence,none
1,naturalness,3.166666667,sequence,none
1,naturalness,3.833333333,sequence,none
1,naturalness,5,sequence,none
1,naturalness,4.5,sequence,none
1,naturalness,4.333333333,sequence,none
1,naturalness,4.8,sequence,none
1,naturalness,4,sequence,horizontal
1,naturalness,5,sequence,horizontal
1,naturalness,4.166666667,sequence,horizontal
1,naturalness,4.833333333,sequence,horizontal
1,naturalness,4.285714286,sequence,horizontal
1,naturalness,4.5,sequence,horizontal
1,naturalness,5,sequence,horizontal
1,naturalness,5,sequence,horizontal
1,naturalness,4.428571429,sequence,horizontal
1,naturalness,4.5,sequence,horizontal
1,naturalness,5,sequence,full
1,naturalness,5,sequence,full
1,naturalness,4.428571429,sequence,full
1,naturalness,4.857142857,sequence,full
1,naturalness,3.4,sequence,full
1,naturalness,5,sequence,full
1,naturalness,5,sequence,full
1,naturalness,5,sequence,full
1,naturalness,4.25,sequence,full
1,naturalness,4,sequence,full
