q2_m1,q2_m2,q2_m3,q3_m1,q3_m2,q3_m3,q4_m1,q4_m2,q4_m3,,
5,5,5,4.523809524,5,4.866666667,4.238095238,4.333333333,4.533333333,,
5,4.928571429,5,4.7,4.357142857,5,4.95,4.928571429,5,,
4.384615385,4.454545455,4.818181818,4.461538462,4.454545455,4.818181818,3.884615385,4.363636364,4.454545455,,
4.625,4.7,5,4.583333333,4.4,4.928571429,4.791666667,4.9,4.5,,
4.541666667,4.928571429,4.9,4.666666667,5,4.8,3.458333333,4.571428571,3.5,,
4.64,4.076923077,5,4.32,3.615384615,5,4.52,4.083333333,5,,
4.896551724,4.5,4.888888889,4.586206897,3.9,4.777777778,4.965517241,5,4.777777778,,
4.964285714,5,5,4.535714286,4.222222222,5,4.75,5,5,,
4.75,4.692307692,4.8,4.35,4.461538462,4.933333333,4.4,4.384615385,4.2,,
5,4.928571429,4.909090909,4.782608696,4.785714286,4.636363636,4.826086957,4.571428571,4.363636364,,
