plot,score,pair,method
gesture_distinction,5,A,none
gesture_distinction,5,A,none
gesture_distinction,4.384615385,A,none
gesture_distinction,4.625,A,none
gesture_distinction,4.541666667,A,none
gesture_distinction,4.64,A,none
gesture_distinction,4.896551724,A,none
gesture_distinction,4.964285714,A,none
gesture_distinction,4.75,A,none
gesture_distinction,5,A,none
gesture_distinction,5,A,horizontal
gesture_distinction,4.928571429,A,horizontal
gesture_distinction,4.454545455,A,horizontal
gesture_distinction,4.7,A,horizontal
gesture_distinction,4.928571429,A,horizontal
gesture_distinction,4.076923077,A,horizontal
gesture_distinction,4.5,A,horizontal
gesture_distinction,5,A,horizontal
gesture_distinction,4.692307692,A,horizontal
gesture_distinction,4.928571429,A,horizontal
gesture_distinction,5,B,none
gesture_distinction,5,B,none
gesture_distinction,4.384615385,B,none
gesture_distinction,4.625,B,none
gesture_distinction,4.541666667,B,none
gesture_distinction,4.64,B,none
gesture_distinction,4.896551724,B,none
gesture_distinction,4.964285714,B,none
gesture_distinction,4.75,B,none
gesture_distinction,5,B,none
gesture_distinction,5,B,full
gesture_distinction,5,B,full
gesture_distinction,4.818181818,B,full
gesture_distinction,5,B,full
gesture_distinction,4.9,B,full
gesture_distinction,5,B,full
gesture_distinction,4.888888889,B,full
gesture_distinction,5,B,full
gesture_distinction,4.8,B,full
gesture_distinction,4.909090909,B,full
gesture_distinction,5,C,horizontal
gesture_distinction,4.928571429,C,horizontal
gesture_distinction,4.454545455,C,horizontal
gesture_distinction,4.7,C,horizontal
gesture_distinction,4.928571429,C,horizontal
gesture_distinction,4.076923077,C,horizontal
gesture_distinction,4.5,C,horizontal
gesture_distinction,5,C,horizontal
gesture_distinction,4.692307692,C,horizontal
gesture_distinction,4.928571429,C,horizontal
gesture_distinction,5,C,full
gesture_distinction,5,C,full
gesture_distinction,4.818181818,C,full
gesture_distinction,5,C,full
gesture_distinction,4.9,C,full
gesture_distinction,5,C,full
gesture_distinction,4.888888889,C,full
gesture_distinction,5,C,full
gesture_distinction,4.8,C,full
