index,d,h,v,d_rad,h_rad,v_rad,x,y,z
1,0.9,-30,-20,0.9,-0.523598776,-0.34906585,-0.422861679,-0.266578319,0.732417913
2,0.9,-30,0,0.9,-0.523598776,0,-0.45,0,0.779422863
3,0.9,-30,20,0.9,-0.523598776,0.34906585,-0.422861679,0.266578319,0.732417913
4,0.9,0,-20,0.9,0,-0.34906585,0,-0.307818129,0.845723359
5,0.9,0,0,0.9,0,0,0,0,0.9
6,0.9,0,20,0.9,0,0.34906585,0,0.307818129,0.845723359
7,0.9,30,-20,0.9,0.523598776,-0.34906585,0.422861679,-0.266578319,0.732417913
8,0.9,30,0,0.9,0.523598776,0,0.45,0,0.779422863
9,0.9,30,20,0.9,0.523598776,0.34906585,0.422861679,0.266578319,0.732417913
10,1.7,-30,-20,1.7,-0.523598776,-0.34906585,-0.798738728,-0.503536826,1.383456058
11,1.7,-30,0,1.7,-0.523598776,0,-0.85,0,1.472243186
12,1.7,-30,20,1.7,-0.523598776,0.34906585,-0.798738728,0.503536826,1.383456058
13,1.7,0,-20,1.7,0,-0.34906585,0,-0.581434244,1.597477455
14,1.7,0,0,1.7,0,0,0,0,1.7
15,1.7,0,20,1.7,0,0.34906585,0,0.581434244,1.597477455
16,1.7,30,-20,1.7,0.523598776,-0.34906585,0.798738728,-0.503536826,1.383456058
17,1.7,30,0,1.7,0.523598776,0,0.85,0,1.472243186
18,1.7,30,20,1.7,0.523598776,0.34906585,0.798738728,0.503536826,1.383456058
19,2.5,-30,-20,2.5,-0.523598776,-0.34906585,-1.174615776,-0.740495332,2.034494203
20,2.5,-30,0,2.5,-0.523598776,0,-1.25,0,2.165063509
21,2.5,-30,20,2.5,-0.523598776,0.34906585,-1.174615776,0.740495332,2.034494203
22,2.5,0,-20,2.5,0,-0.34906585,0,-0.855050358,2.349231552
23,2.5,0,0,2.5,0,0,0,0,2.5
24,2.5,0,20,2.5,0,0.34906585,0,0.855050358,2.349231552
25,2.5,30,-20,2.5,0.523598776,-0.34906585,1.174615776,-0.740495332,2.034494203
26,2.5,30,0,2.5,0.523598776,0,1.25,0,2.165063509
27,2.5,30,20,2.5,0.523598776,0.34906585,1.174615776,0.740495332,2.034494203
28,3.3,-30,-20,3.3,-0.523598776,-0.34906585,-1.550492824,-0.977453838,2.685532348
29,3.3,-30,0,3.3,-0.523598776,0,-1.65,0,2.857883832
30,3.3,-30,20,3.3,-0.523598776,0.34906585,-1.550492824,0.977453838,2.685532348
31,3.3,0,-20,3.3,0,-0.34906585,0,-1.128666473,3.100985649
32,3.3,0,0,3.3,0,0,0,0,3.3
33,3.3,0,20,3.3,0,0.34906585,0,1.128666473,3.100985649
34,3.3,30,-20,3.3,0.523598776,-0.34906585,1.550492824,-0.977453838,2.685532348
35,3.3,30,0,3.3,0.523598776,0,1.65,0,2.857883832
36,3.3,30,20,3.3,0.523598776,0.34906585,1.550492824,0.977453838,2.685532348
