,h,v,e_mse,e_h,e_v,e_comb_surface
0,-30,-20,0.087549791,1.485727901,1.733400607,2.282404773
1,-30,-20,0.076499176,1.818635661,1.197030755,2.176785124
2,-30,-20,0.05999101,1.530914677,0.824239039,1.738511717
3,-30,-20,0.0571997,1.203932429,0.86133512,1.480173887
4,-30,-20,0.046315953,1.196972576,0.715126969,1.394221047
5,-30,-20,0.053941101,1.26644983,0.858033255,1.529587084
6,-30,-20,0.04754646,1.136019931,0.807124173,1.39343075
7,-30,-20,0.049290517,1.260043339,0.88393815,1.539010079
8,-30,-20,0.053055155,1.381947781,0.972975387,1.689889489
9,-30,-20,0.057322642,1.546160485,1.034822974,1.860223397
0,0,-20,0.113055683,1.155410295,3.385277291,3.576149788
1,0,-20,0.080420121,1.071576659,2.077080192,2.336776877
2,0,-20,0.069963229,0.984458557,1.853287034,2.098208596
3,0,-20,0.055377301,1.030140459,1.098816011,1.506009834
4,0,-20,0.05291473,0.99257068,0.995350886,1.405533183
5,0,-20,0.04915338,1.040201223,0.894925483,1.372063502
6,0,-20,0.051584879,1.055709657,0.94810835,1.418811274
7,0,-20,0.052891149,1.079324542,0.958257269,1.44317844
8,0,-20,0.056322749,1.074310222,1.117660536,1.550071611
9,0,-20,0.061021001,1.060266693,1.211997524,1.610103351
0,30,-20,0.100891765,2.033163665,1.64899033,2.616936925
1,30,-20,0.072080136,1.344786389,1.150390845,1.769428592
2,30,-20,0.067193001,1.230435529,1.102155401,1.65165711
3,30,-20,0.070696105,1.288825651,1.123797706,1.709719528
4,30,-20,0.07428977,1.454598707,1.182543473,1.874317155
5,30,-20,0.066200261,1.349024201,1.006039746,1.682627169
6,30,-20,0.059894918,1.165290131,0.997308082,1.533615327
7,30,-20,0.054189329,1.113979804,0.874100668,1.415845295
8,30,-20,0.055476409,1.095753073,0.894028662,1.414062332
9,30,-20,0.052519994,1.09083548,0.783904671,1.343179659
0,-30,0,0.09633165,1.956094608,1.336051012,2.368240792
1,-30,0,0.073354198,1.557324506,1.09961818,1.906103024
2,-30,0,0.071073796,1.595592366,0.963700042,1.863779067
3,-30,0,0.059705892,1.450163764,0.898764588,1.705890608
4,-30,0,0.05392609,1.307341639,0.89914328,1.586518072
5,-30,0,0.04816697,0.950664951,0.834250499,1.264706402
6,-30,0,0.047034907,0.930832893,0.829505921,1.246710796
7,-30,0,0.050421954,0.998119738,0.865362504,1.320905855
8,-30,0,0.053004491,1.146561649,0.819048304,1.408930645
9,-30,0,0.064742822,1.356856695,0.949420385,1.655833671
0,0,0,0.079010898,1.008595438,1.61021084,1.89972957
1,0,0,0.074759632,0.89684461,1.43453212,1.691608812
2,0,0,0.058194032,0.735174979,1.187739137,1.396745081
3,0,0,0.057317056,0.769548241,1.178177057,1.407114706
4,0,0,0.059425455,0.825136701,1.201565113,1.457467
5,0,0,0.058265668,0.751276275,1.176299361,1.395628543
6,0,0,0.05063031,0.701245247,1.01831965,1.236330335
7,0,0,0.048224056,0.74612003,1.000350724,1.247866343
8,0,0,0.050664015,0.819139001,0.940140207,1.246840585
9,0,0,0.049143061,0.789454862,0.923870576,1.215137758
0,30,0,0.11230653,1.569757975,2.453232357,2.911437058
1,30,0,0.116432073,1.574295086,2.356482837,2.832989023
2,30,0,0.094007356,0.952152815,2.172438893,2.371570609
3,30,0,0.087202831,0.701271095,2.083194584,2.197865609
4,30,0,0.081284446,0.941215665,1.916524942,2.134861329
5,30,0,0.076534933,0.909334787,1.782125823,2.0004488
6,30,0,0.066273637,0.960212061,1.55004934,1.823118317
7,30,0,0.063653099,0.919209942,1.577811935,1.825810241
8,30,0,0.0655043,1.037672374,1.564142498,1.876762044
9,30,0,0.071277235,1.216197672,1.522396899,1.948188085
0,-30,20,0.171922139,2.536699358,4.109807485,4.82506078
1,-30,20,0.094609952,1.540251473,2.226648213,2.706577151
2,-30,20,0.084231528,1.583773263,1.762684234,2.369014243
3,-30,20,0.081765478,1.584549316,1.396181841,2.111429042
4,-30,20,0.069980223,1.363334244,1.101706182,1.752575403
5,-30,20,0.060522158,1.071253599,1.130526094,1.557266144
6,-30,20,0.058346107,1.070371108,1.26700639,1.658388539
7,-30,20,0.060446627,1.242737057,1.259351551,1.769001689
8,-30,20,0.063428079,1.182521609,1.290090623,1.749784552
9,-30,20,0.059734203,1.188891183,1.048551467,1.585020907
0,0,20,0.103208034,0.879618168,2.56210889,2.708517035
1,0,20,0.089751372,0.829333277,2.034551103,2.196823833
2,0,20,0.06533712,0.847839717,1.39494289,1.632216202
3,0,20,0.059620767,0.7925344,1.288126262,1.512268739
4,0,20,0.06177592,0.907535969,1.337213893,1.615909767
5,0,20,0.059846842,0.764333476,1.242556153,1.458692945
6,0,20,0.052129341,0.69586565,1.107050181,1.307496873
7,0,20,0.050813932,0.600334755,1.108713074,1.260740479
8,0,20,0.055139084,0.632216067,1.221621688,1.375432448
9,0,20,0.058333923,0.83859883,1.393415992,1.626130847
0,30,20,0.140538411,3.092433619,3.253970692,4.484458191
1,30,20,0.118472113,2.19853805,2.331962671,3.203271186
2,30,20,0.09344555,1.71433578,1.61563484,2.355017563
3,30,20,0.086012439,1.373346125,1.589249382,2.099966325
4,30,20,0.083386354,1.39356484,1.566534531,2.096215148
5,30,20,0.076968862,1.318622721,1.38910862,1.914948052
6,30,20,0.066187804,1.286685831,1.17371792,1.741335098
7,30,20,0.065676248,1.3137937,1.235808137,1.80338711
8,30,20,0.065263105,1.426031522,1.290936654,1.923202281
9,30,20,0.063591143,1.44432016,1.32776796,1.961513425
