,target_idx,e_mse,e_h,e_v,e_comb_target
0,0,0.038754639,2.237116293,1.494264335,2.689419402
1,0,0.041030767,2.468632095,1.325608595,2.801255457
2,0,0.035287827,2.195245979,0.830881496,2.346937736
3,0,0.025739531,1.30143499,1.07251024,1.686185042
4,0,0.028830348,1.750924861,0.735800525,1.899069752
5,0,0.032654561,1.902979233,0.988172777,2.143916726
6,0,0.029655374,1.675229641,0.982521899,1.94181442
7,0,0.034721226,2.019546442,1.037191513,2.269923275
8,0,0.040192863,2.297493148,1.261590095,2.620433465
9,0,0.042998056,2.56528057,1.18365336,2.824527063
0,1,0.044453853,1.050679204,1.181781374,1.58110969
1,1,0.051045152,1.456239604,1.046811809,1.793182909
2,1,0.040894234,1.039788154,0.969040232,1.42119177
3,1,0.042381689,1.332319805,0.61334024,1.46662574
4,1,0.036617575,1.054575211,0.695240468,1.263039925
5,1,0.034645012,0.847446232,0.830884896,1.186732262
6,1,0.035531666,0.888116182,0.845211703,1.225929985
7,1,0.038090786,0.915135871,0.947134302,1.316902399
8,1,0.032011717,0.820493188,0.733362852,1.100401332
9,1,0.034601779,0.950109866,0.738635593,1.203366639
0,2,0.076348683,1.401650782,1.260892901,1.88499531
1,2,0.091087248,1.823187912,1.2030476,2.183891877
2,2,0.059063266,1.070415277,0.892636915,1.39363508
3,2,0.04330162,0.848720603,0.534122811,1.002761374
4,2,0.049360147,0.87531835,0.763697981,1.161565895
5,2,0.041729097,0.723176725,0.653961819,0.974966562
6,2,0.038854802,0.694153675,0.576400256,0.902231433
7,2,0.041529417,0.660881501,0.703983582,0.965540952
8,2,0.053050879,0.836674361,0.924286124,1.246629832
9,2,0.070945926,1.003795432,1.337439949,1.672010432
0,3,0.146125546,0.86966003,2.607571022,2.748389263
1,3,0.104031139,1.300365448,1.196308436,1.766669563
2,3,0.089384823,1.526022875,0.539700179,1.618563092
3,3,0.093559936,1.268336477,1.075100513,1.662457031
4,3,0.063025472,0.887087613,0.661536093,1.106532677
5,3,0.087353618,1.246234742,0.922151322,1.550137961
6,3,0.073423614,1.041715461,0.770602598,1.295661122
7,3,0.073055158,0.999015021,0.810533226,1.286362634
8,3,0.076189145,0.993685493,0.8960965,1.337937882
9,3,0.071162497,1.035118616,0.740318119,1.272518352
0,4,0.043063703,2.285630727,1.584449805,2.780155138
1,4,0.039016149,2.067633899,1.346975312,2.46704319
2,4,0.036433716,2.10323131,0.961477133,2.312219438
